	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000011923	257.689590251819	-0.233948150315971	0.0558989014247101	-4.18520121779271	2.84913603234994e-05	0.00276094848849149
ENSSSCG00000011943	3.11929372827692	1.07462348474635	0.382595201703854	2.80877407756451	0.00497305317754199	0.0789096547079763
ENSSSCG00000012050	212.220917012356	-0.193177141336558	0.0656389535441774	-2.94302591534375	0.00325021209164186	0.0598568471175674
ENSSSCG00000012056	130.383597568969	0.413575955760568	0.110090351731875	3.75669574358189	0.000172171611102715	0.00931213896595417
ENSSSCG00000012074	1.99038117581209	1.42783907385799	0.513247636538612	2.78196911628754	0.00540301813850571	0.0826025171267349
ENSSSCG00000012132	198.011965451694	-0.363784127942227	0.128948451025426	-2.82115934739299	0.00478504278637047	0.0767583708166107
ENSSSCG00000012151	5.56104036528738	-0.661686704009404	0.24201203341095	-2.73410662554049	0.00625497855426332	0.0906776944464887
ENSSSCG00000012238	50.1387555403746	-0.830095556467795	0.196850898689403	-4.21687460913015	2.47711623860505e-05	0.00248934891138828
ENSSSCG00000012257	145.985666708233	-0.764350488335136	0.178477013747784	-4.28262705815597	1.8469959965422e-05	0.00202176816451416
ENSSSCG00000012277	680.202574069082	0.567871014919171	0.193427828129474	2.93582893635686	0.00332657712953193	0.0606457734252854
ENSSSCG00000012307	55.3714320856419	0.572145627326045	0.155122889725533	3.68833786128128	0.000225723793907477	0.011010581814044
ENSSSCG00000012317	308.103862282499	-0.248674401434892	0.0757728934261961	-3.28183853342099	0.00103132643030896	0.0282520717599331
ENSSSCG00000012318	229.629482494068	-0.269117213428997	0.0899271535381564	-2.99261349704358	0.00276599797939041	0.0532005084640002
ENSSSCG00000012324	191.048109466186	0.378195821306907	0.123250447666373	3.06851478812188	0.00215125680885203	0.0456616177941473
ENSSSCG00000012346	9.42108938969325	1.16371266462106	0.409511947131539	2.84170626222845	0.00448728144723178	0.0732727602416584
ENSSSCG00000012375	101.033238518268	0.592816949245497	0.11732138902355	5.05293155987526	4.35079834100039e-07	0.000208326461739666
ENSSSCG00000012377	215.826331045787	0.519730620490971	0.108251534175536	4.80113861156185	1.57766014990057e-06	0.000450601881410199
ENSSSCG00000012402	255.703445147178	0.535694404641648	0.190101605444629	2.8179372993127	0.00483332473545685	0.0772337276183233
ENSSSCG00000012404	12.7345640487316	-0.934213047407216	0.280727455286236	-3.32782928714497	0.00087525482801749	0.0256221705599949
ENSSSCG00000012530	40.5306523757041	-0.293122173817813	0.0989089692005938	-2.96355503638241	0.00304107674847151	0.0569065855920876
ENSSSCG00000012532	10.4848501472173	-0.499978800809414	0.139329931978487	-3.58845219910544	0.000332646966287418	0.0140297736040393
ENSSSCG00000012551	91.8611214885871	-1.33833877898481	0.226668031216459	-5.90440024472066	3.53931950641162e-09	5.76201215643812e-06
ENSSSCG00000012585	2.49789282867445	0.7685979328868	0.277745686786519	2.76727225462753	0.00565275260399526	0.0852100114750397
ENSSSCG00000012618	232.972194709576	0.42049636033186	0.112140833636599	3.74971673292986	0.000177034434024633	0.00954344564874513
ENSSSCG00000012623	1694.09244301253	0.248125283035323	0.085610940647626	2.89828941439394	0.00375204181837949	0.065539957943367
ENSSSCG00000012625	431.071019707607	-0.270476338445082	0.0788776854341331	-3.4290602843683	0.000605674980663976	0.0205916938809587
ENSSSCG00000012657	1147.38027329918	0.264362842646554	0.0965525672709013	2.73801981779336	0.00618103510794431	0.0900064861872391
ENSSSCG00000012745	42.220765506542	0.485254474375346	0.164073624420497	2.95754101909585	0.00310103486584571	0.0578954674495049
ENSSSCG00000012813	530.818064828141	-0.199418467180653	0.0464562382827113	-4.29260901339199	1.76585802500546e-05	0.00195565773109449
ENSSSCG00000012816	11.2661450246289	-0.452006903021278	0.129752645684091	-3.48360452026374	0.000494709911397724	0.0184721957742086
ENSSSCG00000012818	436.399719049837	-0.362000174993494	0.106958753546748	-3.38448385933438	0.000713122115810119	0.0225868249910287
ENSSSCG00000012852	19.9485094485469	0.859789698932829	0.247460360543919	3.47445424003669	0.000511893666270376	0.0187207040285207
ENSSSCG00000012858	57.9493181768083	1.09999800485916	0.275389898635975	3.99432953172039	6.48775791950206e-05	0.00507791821776411
